id,merchantName
3,Affiliate Window
4,Swerve
9,Fragrancedirect
8,Drinkstuff.com
295,Create
61,TheDrinkShop
65,Pharmacy2U
111,HouseWeb
129,InterRose
161,Song Galaxy
164,Prezzybox
189,Flowers Direct
258,Garden Pharmacy
260,Ink Factory
269,OutdoorGear UK
286,artrepublic
273,Buyagift.co.uk
307,Cast In Style
317,Toffs Ltd
964,Serenata Flowers
350,Chocolate Trading Company
355,DesperateSeller.co.uk
361,Advanced MP3 Players
368,Butonz
380,Mobiles.co.uk
382,Karaoke Island
383,Ancestral Collections
392,Elite Titles
400,The Whisky Exchange
422,e2save
1281,247 Blinds
425,Post-a-Rose
427,BananaShoes Limited
483,B &amp; Q
488,Bunches.co.uk
496,Tooled Up
506,Shoesinternational.co.uk
547,Gameseek
550,Firebox
556,King &amp; McGaw
580,PicStop
586,Express Chemist
605,All Jigsaw Puzzles
610,London Theatre Direct
686,Kitbag Ltd
713,Jones Bootmaker.com
732,Bizzy Balloons
736,Cadbury Gifts Direct
741,Catalink
744,BOTB
761,Slapiton
790,Woolovers
797,Appliance City
799,Plain Lazy
802,Activity Superstore
806,Vintage Wine Gifts
808,CartridgeMonkey
813,Scottsdale Golf
828,Vision Direct
1023,EasyRoommate.co.uk
838,Locks Online
854,Jokers Masquerade
851,TV Cables
899,Fitness Options
875,Savapoint
884,Truprint
897,Names.co.uk
911,allbeauty.com
913,Musicroom.com
933,2-fore-1golf
948,Savile Row Company Ltd
952,Electricshopping.com
957,Novatech Ltd
962,Bed Star Ltd
970,GreatMagazines
974,SubsideSports.com
978,A Quarter Of...
987,Mankind
988,Beauty Expert
1006,The Safe Shop
1008,Kiniki
1015,Warner Leisure Hotels
1017,ShortBreaks Ltd
1043,Shirtcity.co.uk - design your shirt
1052,Burton
1117,Gear 4 Music
1120,Joe Browns
1134,Dorothy Perkins
1137,PhotoBox
1148,Darlings of Chelsea
1150,Mills &amp; Boon
1153,TorFX
1202,Iwantoneofthose.com
1183,Baby Monitors Direct
1186,Dyson Cleaners &amp; Spares
1188,Icons
1192,Simply Scuba Ltd
1199,My Favourite Magazines
1205,Hamleys
1203,John Lewis
1206,Hush Homewear
1228,Screwfix
1238,Lonely Planet Publications
2191,Kiddies Kingdom
1242,66fit Ltd
1244,Blackcircles.com Limited
1246,Ligo Electronics Ltd
1257,Vodafone Ltd
1252,JML Direct
1253,Clearwater Hampers
1261,Getting Personal
1268,Flying Flowers
1269,Vanquis Bank Ltd
1283,Joules
1287,Bernards Door Furniture Direct
1298,Mattress Man
1292,Nisbets plc
1294,Simply Swim
1295,Simply Beach
1296,Simply Hike
1297,Simply Piste
