id,merchantName
38432,River Island
24448,NET-A-PORTER UK
24794,Whistles
36467,{*}Reiss UK
38724,House of Fraser
35664,Jigsaw
24803,Kurt Geiger Ltd.
35725,MATCHESFASHION.COM - UK
36338,Accessorize
36350,Dune
36373,Warehouse Fashions Limited
36620,Wolf and Badger
35653,Farfetch UK Limited
36057,Mango
24797,Karen Millen Fashions Limited
35563,STYLEBOP.com (UK)
35703,Radley (UK)
36168,Monsoon
39435,LN-CC (UK)
36666,Harrods
38963,{*}The Cambridge Satchel Co.
37933,Gucci UK
38595,Hobbs Ltd
36027,Notonthehighstreet.com
24724,UNIQLO Europe Ltd
35290,THE OUTNET.COM (UK)
35491,Jaeger
24865,Lipsy
37410,Saks Fifth Avenue - UK
37208,Anya Hindmarch
36286,Boutique 1
37271,J.Crew UK
39036,Baukjen UK
35605,Quiz Clothing
36334,Ralph Lauren UK
38043,Joseph
36374,EAST
37777,{*}Atterley
36984,{*}Forever 21 Global BV
38267,Monica Vinader
37544,Avenue 32 UK
39654,Harvey Nichols & Co Ltd
38951,Chinti and Parker
39672,Agent Provocateur (UK)
36266,Oxygen Boutique
41210,Astrid & Miyu
38031,White Stuff
39135,Petit Bateau
38837,House of Holland
38734,TOMS (UK)
39802,People Tree
37501,J Choo (OS) Limited - UK
24318,Cath Kidston (UK)
35118,Browns Fashion
40970,Madewell UK
39910,L'Agent by Agent Provocateur
36586,Mr Porter UK
38297,Lane Crawford
24449,NET-A-PORTER
