id,merchantName
377773,ASOS
27461,MyTheresa
645,NORDSTROM.com
39916,Mango
12530,Shopbop
179930,Next (UK)
17014,LUISAVIAROMA.COM
394533,& Other Stories
35930,Neiman Marcus
69037,Selfridges
358740,adidas UK
366307,Stradivarius
370409,Finery
96326,FORWARD by elyse walker
135,Oasis Fashions Limited
383746,Temperley London
383880,Figleaves UK
312317,Glamorous
390517,FORWARD by elyse walker
183298,Lavish Alice
73404,MANGO
60288,Zalando UK
373269,F&F (closed 22/07/2016)
389148,needle & thread
361692,Nasty Gal Inc
88822,Mint Velvet
75784,Levis
113506,J Choo (OS) Limited
373422,Public Desire
359544,Guess Europe
385215,H&M
101853,Aldo Shoes (UK)
355301,Bally UK
36032,Toast
35635,Matalan
36454,Mytheresa - UK
91460,modaoperandi.com
390227,REVOLVE
44670,Dune
147312,Malene Birger Uk
173199,Stephen Einhorn
23689,Oliver Bonas Ltd
44719,Simply Be
170092,Malene Birger Se
61741,Mango - DE
380640,Pull & Bear
378859,REVOLVE Clothing
383203,Ego
38510,Notonthehighstreet.com
119146,M.i.h Jeans
88327,Anthropologie (UK)
378397,Moda Operandi UK
1,Sweaty Betty
356996,Missguided
1631,Figleaves (Closing 05/02/16)
50590,very.co.uk
147314,Malene Birger Dk
353591,Chinti and Parker
91396,Farfetch.com (US)
366261,Related Apparel
120178,AQ/AQ
366473,Superga UK
103714,Tibi.com
101752,Pauls Boutique
27838,Farfetch UK Limited
388483,Lighthouse Clothing
107528,STORETS
365297,In The Style
285151,Rare London
372439,Rad.co
23783,Swarovski UK
361040,Matt & Nat
78254,Roxy
65474,Triumph Online Shop
47705,Marissa Collections
11146,SSENSE
352447,Pretty Little Thing
362477,Geox (UK)
35928,Bergdorf Goodman (Neiman Marcus)
378346,Missy Empire
353015,Dune (US)
371910,Graziashop
359145,Milli Millu
367743,beach cafe
385630,Equipment
38053,SmartBuyGlasses
360041,Paul Smith
355029,Wool and the Gang
104252,Nike Uk
43391,Sarenza
73340,Joy The Store
359939,Hudson Shoes
112562,Little Mistress
22801,Me + Em
372873,Three Floor Fashion
393904,Dr Martens UK
379612,The Fold
39026,Moda in Pelle
92682,Swarovski (US)
347514,Spotted on Celeb
45748,Banana Republic EU
119891,Shoptiques
39644,Asos.com FI
45639,EAST
379763,Land's End
55270,Chicwish
162103,Offspring
16,Browns Fashion
179591,Lacoste
42599,Heidi Klein
365396,Ultimo
70715,UGG
28151,Guess IT
50348,Long Tall Sally
37383,Sunspel Clothing
77258,BlankNYC.com
144863,Lookbook Store
355504,Hush Puppies (UK) Wolverine Europe Retail Ltd
370225,New Balance
360684,People Tree
358517,Sugarhill Boutique
365582,Chi Chi Clothing
73641,Snow And Rock
379543,mahabis
12678,Amazon US
390148,Tesco Direct
386612,Astrid & Miyu
114672,Goldie London
24229,Wallis
92740,Soludos
61698,ROMWE
357567,Motel Rocks Uk
12679,Amazon UK
380260,Merchoid Limited
358615,Topshop
24228,Office Shoes
79094,Dc Shoes
8428,Bhs
360269,Peacocks
124388,JESSICABUURMAN
55267,Question-air
383779,Lamoda
1576,Tesco.com (closed 22/07/2016)
113200,AG Jeans
30509,Spartoo.co.uk
383780,Brand Attic
44244,Daniel Footwear
92610,SheIn
24049,Karen Millen Fashions Limited
368129,Tommy Hilfiger
375235,Celtic & Co
355181,ARK
385341,Lacoste UK
367507,Brandoutlet
79670,Topman AU
113183,Loeffler Randall
90728,JADES24.com Designer Fashion DE
8267,Sock Shop
379854,Waven
358512,Pia Jewellery
49215,House of Bath
179140,Next (IE)
355650,H Samuel
160758,Ann Summers
30242,Astley Clarke Ltd
365427,Hawes & Curtis
374930,Tobi.com
44721,Fashion World
42515,Footasylum
141910,Burberry UK
148561,John Greed Jewellery
1502,Promod UK
70714,Fifty Plus
361182,Anthropologie (US)
363413,G-Star Raw
361506,pretaportobello.com
101204,choies
228119,Dents UK
42637,Missguided
122652,Urban Outfitters EU
50589,Littlewoods
39277,Swarovski France
141912,Fat Face UK
74562,Yours Clothing
50071,Great Plains
358741,Reebok UK
44722,JD Williams
113417,DKNY
145135,SportsDirect.com
363408,Dillard's
365669,American Eagle Outfitters
46526,Asda George
8303,TruffleShuffle.com
97836,Neiman Marcus
27488,Bloomingdale's
44720,Marisota
141454,Kirna Zabete
141456,Lanvin US
113418,Intermix
314409,Marissa Collections
55382,Neiman Marcus
